E,H,I,R,S,Time
278,0,112,162,9448,7.85854
277,0,113,162,9448,7.86653
278,0,113,162,9447,7.87369
279,0,113,162,9446,7.89482
280,0,113,162,9445,7.90075
281,0,113,162,9444,7.90628
282,0,113,162,9443,7.91233
281,0,114,162,9443,7.91492
280,0,115,162,9443,7.9153
281,0,115,162,9442,7.91952
281,0,114,163,9442,7.92582
282,0,114,163,9441,7.93331
282,0,113,164,9441,7.95335
281,0,114,164,9441,7.9587
282,0,114,164,9440,7.96588
282,0,113,165,9440,7.97073
282,0,112,166,9440,7.97256
283,0,112,166,9439,7.98029
284,0,112,166,9438,7.98363
283,0,113,166,9438,7.9874
282,0,114,166,9438,8.00736
282,0,113,167,9438,8.01464
283,0,113,167,9437,8.01887
284,0,113,167,9436,8.02229
285,0,113,167,9435,8.02385
286,0,113,167,9434,8.02752
287,0,113,167,9433,8.0383
286,0,114,167,9433,8.04667
285,0,115,167,9433,8.04954
286,0,115,167,9432,8.06525
287,0,115,167,9431,8.07538
287,0,114,168,9431,8.07797
287,0,113,169,9431,8.0792
288,0,113,169,9430,8.08007
287,0,114,169,9430,8.08013
286,0,115,169,9430,8.08218
